Slot,,IDs,resources.dcb (File Name),Clean Name,Type
0190,,0084906486DF5D22,KratosArmorLegs_TankSet_Tier01_Reinforce2,Reaver Belt Lv3,Armor
018E,,0538FA2C08F5C3E8,KratosArmorChest_TankSet_Tier01_Reinforce2,Reaver Tunic Lv3,Armor
01A6,,0688A2A2CDE929C9,KratosArmorChest_DamageSet_Tier01_Reinforce1,Boar Hide Shoulder Guards Lv2,Armor
018C,,0912F93ABF6ADC52,KratosArmorWrist_TankSet_Tier01_Reinforce1,Reaver Forearm Bands Lv2,Armor
0197,,0BD1185348F0B82F,KratosArmorChest_SpeedSet_Tier01_Reinforce2,Arcane Shoulder Wraps Lv3,Armor
01A5,,0EC693CAFBFF3A1D,KratosArmorLegs_DamageSet_Tier01,Boar Hide Belt,Armor
018B,,143CFA2C08F5C3E8,KratosArmorChest_TankSet_Tier01_Reinforce1,Reaver Tunic Lv2,Armor
024F,,17DB6815F553A0E4,KratosArmorWrist_ValkyrieSet_Tier06,Gauntlets of the Valkyrie,Armor
01AB,,1B79EAAB74B20760,KratosArmorLegs_DamageSet_Tier01_Reinforce2,Boar Hide Belt Lv3,Armor
018F,,1E16F93ABF6ADC52,KratosArmorWrist_TankSet_Tier01_Reinforce2,Reaver Forearm Bands Lv3,Armor
018A,,1F3451A0EC0D5A2E,KratosArmorLegs_TankSet_Tier01,Reaver Belt,Armor
018D,,1F80906486DF5D22,KratosArmorLegs_TankSet_Tier01_Reinforce1,Reaver Belt Lv2,Armor
0188,,3058E21201646AAF,KratosArmorChest_TankSet_Tier01,Reaver Tunic,Armor
01A9,,3584A2A2CDE929C9,KratosArmorChest_DamageSet_Tier01_Reinforce2,Boar Hide Shoulder Guards Lv3,Armor
01A7,,45B26DC665DB30C6,KratosArmorWrist_DamageSet_Tier01_Reinforce1,Boar Hide Bracers Lv2,Armor
0250,,645AF4F1BD48FCEA,KratosArmorLegs_ValkyrieSet_Tier06,Waist Guard of the Valkyrie,Armor
01A4,,65B1B048DC097627,KratosArmorWrist_DamageSet_Tier01,Boar Hide Bracers,Armor
0194,,78CD185348F0B82F,KratosArmorChest_SpeedSet_Tier01_Reinforce1,Arcane Shoulder Wraps Lv2,Armor
01A3,,7FC99E30CAE5761D,KratosArmorChest_DamageSet_Tier01,Boar Hide Shoulder Guards,Armor
0189,,A2758B8C9BE22666,KratosArmorWrist_TankSet_Tier01,Reaver Forearm Bands,Armor
01AA,,B68E6DC665DB30C6,KratosArmorWrist_DamageSet_Tier01_Reinforce2,Boar Hide Bracers Lv3,Armor
024E,,B74F7BCF35641B8F,KratosArmorChest_ValkyrieSet_Tier06,Cuirass of the Valkyrie,Armor
0186,,BBE241E6B9F903EC,KratosShield_Bonus02,Aspis of Spartan Fury,Armor
0192,,BCB44F41C8303BEF,KratosArmorWrist_SpeedSet_Tier01,Arcane Bracers,Armor
0198,,C7E059344F03170F,KratosArmorWrist_SpeedSet_Tier01_Reinforce2,Arcane Bracers Lv3,Armor
0195,,D6E459344F03170F,KratosArmorWrist_SpeedSet_Tier01_Reinforce1,Arcane Bracers Lv2,Armor
0191,,E6C0860B783953B8,KratosArmorChest_SpeedSet_Tier01,Arcane Shoulder Wraps,Armor
0193,,E9CC8DD78159E2E9,KratosArmorLegs_SpeedSet_Tier01,Arcane Waist Guard,Armor
01A8,,EA45EAAB74B20760,KratosArmorLegs_DamageSet_Tier01_Reinforce1,Boar Hide Belt Lv2,Armor
0196,,EB0A0F217E651246,KratosArmorLegs_SpeedSet_Tier01_Reinforce1,Arcane Waist Guard Lv2,Armor
0199,,FA0E0F217E651246,KratosArmorLegs_SpeedSet_Tier01_Reinforce2,Arcane Waist Guard Lv3,Armor
014C,,84FD60E2F9FF3103,ArrowUnlock_Shock,Shock Arrows,Atreus
0382,,04D1D400FCB95246,Perk_Offense_AxeHeavyHold_OffenseBuff,Weighted War Handle,Axe Pommel
